port,count
3333,1
3556,1
8831,1
89,1
8403,1
3066,1
8988,1
3069,1
491,1
3200,1
2560,1
3120,1
1063,1
8767,1
8803,1
880,1
8006,1
3794,1
5005,1
8401,1
999,1
3910,1
8180,1
8881,1
9036,1
9209,1
2003,1
2064,1
8405,1
5609,1
9102,1
2563,1
1022,1
3113,1
8864,1
7444,1
8874,1
3089,1
9307,1
9991,1
8017,1
2568,1
9682,1
8585,1
8421,1
5209,1
2602,1
8422,1
4734,1
8012,1
9690,1
3095,1
6560,1
7004,1
8055,1
2021,1
3076,1
5822,1
8622,1
8049,1
8096,1
3082,1
888,1
447,1
9221,1
9743,1
8428,1
2572,1
8791,1
8039,1
8861,1
8869,1
9998,1
8057,1
199,1
8430,1
9994,1
5003,1
2122,1
3793,1
3221,1
6511,1
2010,1
3058,1
3479,1
3094,1
8018,1
830,1
121,1
9014,1
8846,1
5910,1
8043,1
8248,1
3954,1
3106,1
685,1
9202,1
6580,1
8410,1
8860,1
8024,1
8013,1
8002,1
100,1
8836,1
8814,1
6561,1
3074,1
6443,1
9222,1
8190,1
8990,1
3091,1
5597,1
2061,1
8050,1
3085,1
9031,1
8823,1
2266,1
7510,1
8821,1
1028,1
8409,1
3081,1
5606,1
2080,1
5602,1
4042,1
1494,1
4700,1
843,1
8106,1
8816,1
8031,1
9096,1
4545,1
2701,1
6080,1
4243,1
9040,1
8143,1
9500,1
2201,1
2506,1
8084,1
3409,1
8871,1
8064,1
9088,1
8005,1
9205,1
9104,1
9028,1
1080,1
9308,1
8038,1
95,1
3050,1
2096,1
5090,1
6748,1
1119,1
3951,1
8034,1
8071,1
8091,1
8623,1
9303,1
96,1
9023,1
2351,1
2352,1
2232,1
9038,1
7465,1
8993,1
106,1
8788,1
9016,1
8817,1
8853,1
8852,1
7776,1
8841,1
8830,1
801,1
7999,1
9110,1
1012,1
8688,1
1554,1
3083,1
8819,1
8028,1
6464,1
9043,1
9992,1
9304,1
9218,1
4100,1
8415,1
5590,1
8066,1
1029,1
6512,1
2095,1
8016,1
2806,1
3555,1
8237,1
8095,1
5150,1
8808,1
4643,1
3116,1
92,1
3400,1
3119,1
7000,1
9220,1
2320,1
4550,1
8826,1
4646,1
8891,1
1650,1
3098,1
3111,1
9045,1
5593,1
8239,1
9041,1
1388,1
8812,1
9092,1
3524,1
1660,1
3567,1
8088,1
2058,1
9997,1
3080,1
20,1
8586,1
8411,1
3408,1
9006,1
9207,1
6789,1
3443,1
6363,1
